2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] registrationTask1 de.codecentric.boot.admin.client.registration.ApplicationRegistrator Application registered itself as 08f058ac9660
2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] http-nio-8201-exec-1 org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] http-nio-8201-exec-1 org.springframework.web.servlet.DispatcherServlet Initializing Servlet 'dispatcherServlet'
2019-10-18 15:44:34 INFO  [DASH-Server-System,,,] http-nio-8201-exec-1 org.springframework.web.servlet.DispatcherServlet Completed initialization in 28 ms
2019-10-18 15:44:34 INFO  [DASH-Server-System,650f1fede26bff60,650f1fede26bff60,false] http-nio-8201-exec-1 org.springframework.amqp.rabbit.connection.CachingConnectionFactory Attempting to connect to: [192.168.1.213:5672]
2019-10-18 15:44:34 INFO  [DASH-Server-System,650f1fede26bff60,650f1fede26bff60,false] http-nio-8201-exec-1 org.springframework.amqp.rabbit.connection.CachingConnectionFactory Created new connection: rabbitConnectionFactory#70805849:0/SimpleConnection@1fef0943 [delegate=amqp://dash@192.168.1.213:5672/, localPort= 9346]
2019-10-18 15:45:01 INFO  [DASH-Server-System,15120f98747d7dbd,ac27015002cf2622,true] http-nio-8201-exec-5 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:45:03 INFO  [DASH-Server-System,9136049020526395,593a5022506d62be,true] http-nio-8201-exec-6 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:46:12 INFO  [DASH-Server-System,f8c8df6592c8c77f,f8c8df6592c8c77f,true] http-nio-8201-exec-3 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:46:14 INFO  [DASH-Server-System,3426642c4d2132e2,1c1a96b2fb659aea,true] http-nio-8201-exec-2 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:46:16 INFO  [DASH-Server-System,90dc4575d8316c3d,90dc4575d8316c3d,true] http-nio-8201-exec-4 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:46:16 INFO  [DASH-Server-System,8c3a4d269f3ff9ff,8c3a4d269f3ff9ff,true] http-nio-8201-exec-6 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:47:23 INFO  [DASH-Server-System,2b9df062758b67cb,2b9df062758b67cb,true] http-nio-8201-exec-4 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:47:24 INFO  [DASH-Server-System,1410db39a4150b8a,1410db39a4150b8a,true] http-nio-8201-exec-6 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:05 INFO  [DASH-Server-System,b41889378c4f5d27,b41889378c4f5d27,true] http-nio-8201-exec-3 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:05 INFO  [DASH-Server-System,96a8fbac08167102,96a8fbac08167102,true] http-nio-8201-exec-4 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:06 INFO  [DASH-Server-System,6e9ee1cb1df029fc,6e9ee1cb1df029fc,true] http-nio-8201-exec-6 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:06 INFO  [DASH-Server-System,a457106c0e8f13f9,a457106c0e8f13f9,true] http-nio-8201-exec-8 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:06 INFO  [DASH-Server-System,8e0332af2555fc5f,8e0332af2555fc5f,true] http-nio-8201-exec-10 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:41 INFO  [DASH-Server-System,e40a29fb8dbd7da0,e40a29fb8dbd7da0,true] http-nio-8201-exec-5 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:41 INFO  [DASH-Server-System,79b1136e53ea1bae,79b1136e53ea1bae,true] http-nio-8201-exec-7 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:42 INFO  [DASH-Server-System,88b0f244e0b08a02,88b0f244e0b08a02,true] http-nio-8201-exec-9 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:42 INFO  [DASH-Server-System,0217179d75b648d6,0217179d75b648d6,true] http-nio-8201-exec-1 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:43 INFO  [DASH-Server-System,03ce6e8b38e17e53,03ce6e8b38e17e53,true] http-nio-8201-exec-2 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:44 INFO  [DASH-Server-System,e05c652b28b80859,e05c652b28b80859,true] http-nio-8201-exec-5 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
2019-10-18 15:48:44 INFO  [DASH-Server-System,120c16034e9ae06b,120c16034e9ae06b,true] http-nio-8201-exec-7 com.sprint.dash.server.system.controller.SysUserController dash-server-system的/sys/user/list服务
